1775886762|23.83
1775886990|16.78
1775887150|17.55
1775887523|18.05
1775889261|17.48
1775891911|17.43
1775891912|17.43
1775892226|17.6
1775892527|17.85
1775892841|17.83
1775893142|17.93
1775893456|18.1
1775893457|18.1
1775893771|17.98
1775894073|17.46
1775894386|18.66
1775894387|18.66
1775894701|24.84
1775894702|24.84
1775895016|25.11
1775895318|24.37
1775895631|25.28
1775895632|25.28
1775895946|24.94
1775896247|25.17
1775896561|25.65
1775896863|25.68
1775897176|25.53
1775897177|48.46
1775897491|67.14
1775897492|82.14
1775897806|80.34
1775898121|79.54
1775898422|79.47
1775898736|85.0
1775899038|85.0
1775899351|78.81
1775899653|74.12
1775899966|75.07
1775900268|74.86
1775900581|73.07
1775900883|75.93
1775901196|70.94
1775901497|69.92
1775901811|70.08
1775902112|70.07
1775902426|73.69
1775902428|73.69
1775902741|77.48
1775903042|73.96
1775903356|74.38
1775903657|81.7
1775903971|75.68
1775904272|80.64
1775904586|76.66
1775904587|76.66
1775904901|77.16
1775905202|75.06
1775905516|74.1
1775905817|84.47
1775906131|77.71
1775906133|77.71
1775906446|78.57
1775906747|76.11
1775907061|80.01
1775907062|80.01
1775907376|77.88
1775907377|77.88
1775907691|75.17
1775907993|77.55
1775908306|75.89
1775908607|79.7
1775908921|80.9
1775909222|84.16
1775909536|80.42
1775909837|80.01
1775910151|79.86
1775910153|79.86
1775910466|79.04
1775910768|82.28
1775911081|85.0
1775911126|47.02
1775911127|47.02
1775911441|45.11
1775911742|46.61
1775912056|46.48
1775912358|46.33
1775912671|46.88
1775912673|46.88
1775912986|46.64
1775913287|49.11
1775913601|47.94
1775913902|48.89
1775914216|48.15
1775914517|51.69
1775914831|49.68
1775914832|49.68
1775915146|49.64
1775915448|49.0
1775915761|49.24
1775916062|48.22
1775916376|49.27
1775916677|48.88
1775916991|48.94
1775917292|48.81
1775917606|48.91
1775917608|48.91
1775917921|48.66
1775918222|49.27
1775918536|50.25
1775918838|49.97
1775919151|49.02
1775919452|49.61
1775919766|48.86
1775920067|49.33
1775920381|49.8
1775920382|49.8
1775920696|49.41
1775920998|49.1
1775921311|49.19
1775921626|49.3
1775921928|49.3
1775922241|48.92
1775922542|49.25
1775922856|48.78
1775923171|49.24
1775923472|35.05
1775923786|35.71
1775924088|34.9
1775924401|35.23
1775924402|35.23
1775924716|36.3
1775924718|36.3
1775925031|36.45
1775925333|35.64
1775925646|36.82
1775925947|36.89
1775926261|38.35
1775926263|38.35
1775926576|37.47
1775926878|38.07
1775927191|37.95
1775927193|37.95
1775927506|37.26
1775927508|37.26
1775927821|37.82
1775927822|37.82
1775928136|37.61
1775928437|38.45
1775928751|37.51
1775929053|37.34
1775929366|38.92
1775929667|38.37
1775929981|36.43
1775929982|36.43
1775930296|36.48
1775930598|36.89
1775930911|37.61
1775930913|37.61
1775931226|36.8
1775931528|38.69
1775931841|36.47
1775932142|37.24
1775932456|36.36
1775932757|37.79
1775933071|38.51
1775933372|38.27
1775933686|39.93
1775933987|38.92
1775934301|39.38
1775934602|37.11
1775934916|39.19
1775934917|39.19
1775935231|38.07
1775935533|39.1
1775935846|39.7
1775936148|37.97
1775936461|38.86
1775936463|38.86
1775936776|39.57
1775936777|39.57
1775937091|37.3
1775937392|36.84
1775937706|37.1
1775938007|38.53
1775938321|38.19
1775938622|36.61
1775938936|37.62
1775938937|37.62
1775939251|38.39
1775939252|38.39
1775939566|38.98
1775939568|38.98
1775939881|38.38
1775940182|37.9
1775940496|38.67
1775940798|37.48
1775941111|37.36
1775941412|38.29
1775941726|39.22
1775942027|38.04
1775942341|38.7
1775942342|38.7
1775942656|38.45
1775942658|38.45
1775942972|39.6
1775942972|39.6
1775943286|38.33
1775943287|38.33
1775943601|38.13
1775943903|38.13
1775944216|38.35
1775944218|38.35
1775944531|38.67
1775944533|38.67
1775944846|38.8
1775945147|39.4
1775945461|38.54
1775945463|38.54
1775945776|38.96
1775946078|39.31
1775946391|40.18
1775946393|40.18
1775946706|39.03
1775947008|39.76
1775947321|40.53
1775947623|42.29
1775947936|42.15
1775948251|41.36
1775948253|41.36
1775948566|40.91
1775948867|39.51
1775949181|40.58
1775949483|40.55
1775949796|42.06
1775949797|42.06
1775950111|42.26
1775950412|42.23
1775950726|42.35
1775950728|42.35
1775951041|40.68
1775951343|41.18
1775951656|40.2
1775951958|40.8
1775952271|61.29
1775952573|63.14
1775952886|61.54
1775953187|62.0
1775953502|62.36
1775953503|62.36
1775953816|63.21
1775953817|63.21
1775954131|62.52
1775954133|62.52
1775954446|62.03
1775954747|62.53
1775955061|62.25
1775955364|62.27
1775955676|63.18
1775955977|61.8
1775956291|62.51
1775956293|62.51
1775956606|62.88
1775956608|62.88
1775956921|63.85
1775956923|63.85
1775957236|63.74
1775957238|63.74
1775957551|62.99
1775957553|62.99
1775957866|64.82
1775958167|64.63
1775958481|66.67
1775958782|66.87
1775959096|64.37
1775959398|66.11
1775959711|66.87
1775960012|65.72
1775960326|65.5
1775960627|65.26
1775960941|65.84
1775961243|65.73
1775961556|65.52
1775961857|65.47
1775962171|65.09
1775962486|65.57
1775962787|65.02
1775963101|64.91
1775963403|64.85
1775963716|65.06
1775964018|65.04
1775964331|65.06
1775964646|64.93
1775964947|64.75
1775965261|64.65
1775965563|64.74
1775965876|64.81
1775965877|64.81
1775966191|64.59
1775966493|64.04
1775966806|64.11
1775967108|63.65
1775967422|63.73
1775967423|63.73
1775967736|65.02
1775968037|65.12
1775968351|65.24
1775968652|63.79
1775968966|64.23
1775969267|63.83
1775969581|64.57
1775969882|65.59
1775970196|64.92
1775970198|64.92
1775970511|65.04
1775970812|64.2
1775971126|65.14
1775971427|63.83
1775971736|64.32
1775972041|64.04
1775972342|63.93
1775972656|64.7
1775972657|64.7
1775972971|63.38
1775972972|63.38
1775973286|63.72
1775973588|63.61
1775973901|62.63
1775973902|62.63
1775974216|62.87
1775974218|62.87
1775974531|63.62
1775974532|63.62
1775974846|63.82
1775975147|63.15
1775975461|62.63
1775975776|62.86
1775976077|63.02
1775976391|62.56
1775976692|63.12
1775977006|62.96
1775977007|62.96
1775977321|62.52
1775977622|62.1
1775977936|62.53
1775977937|62.53
1775978251|61.99
1775978552|62.11
1775978866|62.87
1775979167|62.45
1775979481|62.37
1775979782|62.53
1775980096|62.39
1775980397|61.44
1775980711|61.19
1775980713|61.19
1775981026|47.55
1775981328|47.61
1775981641|47.2
1775981942|47.65
1775982256|47.52
1775982571|47.55
1775982872|47.69
1775983186|48.02
1775983487|48.14
1775983801|47.9
1775984102|48.04
1775984416|47.82
1775984718|48.29
1775985031|48.43
1775985333|47.51
1775985646|46.91
1775985647|46.91
1775985961|46.81
1775985962|46.81
1775986276|47.13
1775986278|47.13
1775986591|46.86
1775986592|46.86
1775986906|46.45
1775986907|46.45
1775987221|46.15
1775987222|46.15
1775987536|47.44
1775987537|47.44
1775987851|47.29
1775988152|47.61
1775988466|47.79
1775988467|47.79
1775988781|46.87
1775989082|47.3
1775989396|47.44
1775989697|47.58
1775990011|47.47
1775990313|46.2
1775990626|47.39
1775990627|47.39
1775990941|47.65
1775990943|47.65
1775991256|47.23
1775991571|46.25
1775991872|46.58
1775992186|46.03
1775992188|46.03
1775992501|46.09
1775992802|46.82
1775993116|46.23
1775993417|46.49
1775993731|46.34
1775994033|45.49
1775994347|46.12
1775994348|46.12
1775994661|46.03
1775994962|46.07
1775995276|46.43
1775995578|46.18
